id,lons,lats
1,1013131.998440686 1013325.0590126558 1013467.9542391531 1013516.0927019801 1013558.6572375325 1013575.8857400181 1013164.935283673 1013131.998440686 ,7207246.508125793 7207303.260839863 7207338.731286156 7207312.888532428 7207304.274281185 7207225.732578678 7207140.096786912 7207246.508125793 
5,1013564.2130676404 1013613.8958220069 1013682.4720181746 1013657.2807624396 1013642.5858632608 1013626.8413284263 1013589.0544448236 1013567.7118531592 1013562.1137963292 1013564.2130676404 ,7207086.094842151 7207094.491927396 7206888.413460341 7206879.316617992 7206896.460667034 7206933.897672085 7206944.743907193 7206945.793542849 7207085.744963599 7207086.094842151 
3,1013444.9044814507 1013558.9648893623 1013567.0120960554 1013507.5327422365 1013502.9843210621 1013496.6865071284 1013496.3366285765 1013488.2894218833 1013455.7507165589 1013444.9044814507 ,7207064.752250486 7207084.695327943 7206883.515160615 7206877.917103784 7206867.420747228 7206867.420747228 7206869.170139988 7206868.120504332 7206889.4630959965 7207064.752250486 
9,1013192.292166996 1013408.5171120556 1013419.7132257156 1013286.0596188989 1013283.9603475876 1013225.5306294243 1013192.292166996 ,7207022.067067158 7207058.804315105 7206949.292328368 7206932.84803643 7206831.033377834 7206870.219775644 7207022.067067158 
4,1013457.1502307665 1013494.5872358173 1013497.3862642323 1013511.3814063073 1013525.3765483823 1013648.8836771947 1013695.0676460423 1013694.3678889386 1013619.1440002852 1013582.0568737864 1013557.2154966032 1013511.3814063073 1013459.9492591815 1013457.1502307665 ,7206866.371111575 7206869.520018541 7206867.070868677 7206867.42074723 7206875.817832475 7206888.763338895 7206834.182284801 7206814.938964448 7206805.492243548 7206776.452323742 7206766.65572429 7206827.884470868 7206835.231920457 7206866.371111575 
7,1013597.4515300689 1013620.8933930445 1013695.0676460423 1013713.2613307398 1013746.499793168 1013762.9440851063 1013779.3883770445 1013824.8725887884 1013701.7153385279 1013597.4515300689 ,7206786.948680298 7206803.742850788 7206812.8396931365 7206846.428034117 7206839.080584528 7206824.7355639 7206800.593943821 7206689.6824428765 7206641.3992027175 7206786.948680298 
8,1013251.7715208154 1013356.0353292745 1013411.3161404709 1013317.5486885682 1013248.9724924003 1013251.7715208154 ,7206758.608517595 7206748.112161038 7206458.412720085 7206439.519278283 7206750.21143235 7206758.608517595 
6,1013445.6042385547 1013419.7132257159 1013799.6813330535 1013901.8458702014 1013901.8458702014 1013833.2696740336 1013668.126997548 1013445.6042385547 ,7206206.500162735 7206357.647697145 7206478.00591899 7206423.4248648975 7206373.042353427 7206319.860813542 7206267.37903076 7206206.500162735 
2,1013283.9603475879 1013286.7593760029 1013452.6018095923 1013458.1998664223 1013505.0835923738 1013556.8656180514 1013593.2529874465 1013670.2262688593 1013701.0155814245 1013829.0711314111 1013908.8434412389 1013852.8628729387 1013794.0832762235 1013745.8000360646 1013645.7347702279 1013555.4661038439 1013506.4831065813 1013440.0061817247 1013377.028042387 1013365.1321716233 1013361.6333861045 1013259.4688489566 1013254.5705492303 1013283.9603475879 ,7206826.484956659 7206888.763338893 7206914.654351732 7206825.085442452 7206823.685928244 7206753.710217869 7206757.908760491 7206676.736936456 7206636.151024438 7206682.334993286 7206495.499846584 7206456.313448774 7206487.102761339 7206471.008347953 7206474.507133472 7206543.783086743 7206565.475556959 7206605.361711874 7206704.727220606 7206737.615804482 7206748.112161038 7206762.8070602175 7206810.390543273 7206826.484956659 
